x,y,z,Bx,By,Bz
0.0045,0,0.0015,-0.672248,-0.0393747,1.13511
0.0045,0,0.002,-0.755358,-0.0758557,1.51325
0.0045,0,0.0025,-0.530356,-0.139753,2.0169
0.0045,0,0.003,0.124379,-0.17997,2.30164
0.0045,0,0.0035,0.744344,-0.142735,2.10021
0.0045,0,0.004,0.989817,-0.0804204,1.62698
0.0045,0,0.0045,0.929255,-0.0412227,1.18823
0.0045,0,0.005,0.778548,-0.0206252,0.896704
0.0045,0,0.0055,0.638904,-0.00976301,0.708764
0.0045,0,0.006,0.525281,-0.0039616,0.580163
0.0045,0,0.0065,0.434472,-0.000846948,0.486742
0.0045,0,0.007,0.36165,0.000818741,0.4156
0.0045,0,0.0075,0.302823,0.00168986,0.35944
0.0045,0,0.008,0.25494,0.00211753,0.313879
0.0045,0,0.0085,0.215688,0.00229414,0.276139
0.0045,0,0.009,0.183309,0.00232772,0.244378
0.0045,0,0.0095,0.156449,0.00228038,0.21732
0.0045,0,0.01,0.134054,0.00218856,0.194049
0.005,0,-0.01,-0.0552925,0.000101305,0.0888138
0.005,0,-0.0095,-0.0631702,6.98092e-05,0.0972916
0.005,0,-0.009,-0.0724244,2.06667e-05,0.106807
0.005,0,-0.0085,-0.0833473,-5.38818e-05,0.117527
0.005,0,-0.008,-0.0963099,-0.000165343,0.129659
0.005,0,-0.0075,-0.11179,-0.000331133,0.143472
0.005,0,-0.007,-0.130415,-0.00057825,0.159323
0.005,0,-0.0065,-0.153028,-0.000949743,0.177709
0.005,0,-0.006,-0.180799,-0.00151645,0.199365
0.005,0,-0.0055,-0.215399,-0.00239898,0.225443
0.005,0,-0.005,-0.259311,-0.00381016,0.257899
0.005,0,-0.0045,-0.316295,-0.00613963,0.300341
0.005,0,-0.004,-0.391642,-0.0101425,0.36008
0.005,0,-0.0035,-0.488055,-0.0175219,0.45285
0.005,0,-0.003,-0.567171,-0.0333366,0.608046
0.005,0,-0.0025,-0.412827,-0.0619208,0.82095
0.005,0,-0.002,0.074493,-0.0487441,0.890629
0.005,0,-0.0015,0.230451,-0.0131435,0.734241
0.005,0,-0.001,0.0857004,-0.00197476,0.613098
0.005,0,-0.0005,-0.081438,-0.000399776,0.5697
0.005,0,0,-0.23968,-0.00181742,0.5754
0.005,0,0.0005,-0.405981,-0.00533341,0.619774
0.005,0,0.001,-0.600583,-0.0119477,0.710583
0.005,0,0.0015,-0.836941,-0.0252299,0.878001
0.005,0,0.002,-1.04712,-0.0584981,1.18445
0.005,0,0.0025,-0.804257,-0.138026,1.64083
0.005,0,0.003,0.249539,-0.176196,1.92386
0.005,0,0.0035,1.15975,-0.107732,1.72701
0.005,0,0.004,1.38033,-0.0443867,1.29001
0.005,0,0.0045,1.16153,-0.0187026,0.92156
0.005,0,0.005,0.897904,-0.00757629,0.697681
0.005,0,0.0055,0.702245,-0.00207371,0.559915
0.005,0,0.006,0.56146,0.000724936,0.46687
0.005,0,0.0065,0.456911,0.0021015,0.398866
0.005,0,0.007,0.376786,0.00272216,0.34628
0.005,0,0.0075,0.313886,0.00294361,0.303978
0.005,0,0.008,0.263615,0.00295612,0.26898
0.005,0,0.0085,0.222886,0.00286138,0.239437
0.005,0,0.009,0.18953,0.0027143,0.214134
0.005,0,0.0095,0.161976,0.00254485,0.192226
0.005,0,0.01,0.139051,0.00236946,0.173105
